Unnamed: 0,type,epoch,top1,top5,loss,time,network_norm,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
4,train,2,0.34916,0.83234,0.007411679508686,5.2,9.708684326547548,0,1,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
5,test,2,0.3406,0.8307,0.0074157604575157,,,0,1,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
6,train,3,0.35146,0.83316,0.007388660364151,5.1,9.827414201071186,0,1,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
7,test,3,0.3483,0.8317,0.0073840574979782,,,0,1,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
8,train,4,0.35394,0.83508,0.0073584400629997,5.4,9.939581867628226,0,1,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
9,test,4,0.3485,0.8331,0.0073593461871147,,,0,1,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
0,train,0,0.3547,0.8353,0.0073593638396263,5.2,9.92831268448483,1,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
1,test,0,0.3485,0.8341,0.0073599139213562,,,1,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
2,train,1,0.35446,0.83476,0.0073607374310493,4.9,9.917072600983202,1,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
3,test,1,0.3473,0.8354,0.0073632485628128,,,1,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
4,train,2,0.3542,0.83588,0.0073599278640747,5.1,9.905863567122504,1,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
5,test,2,0.3478,0.8344,0.0073602209448814,,,1,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
6,train,3,0.35454,0.83482,0.0073618692564964,5.3,9.89469289402293,1,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
7,test,3,0.3493,0.8348,0.0073603470087051,,,1,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
8,train,4,0.35474,0.83472,0.0073624060153961,5.1,9.883552914262076,1,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
9,test,4,0.3481,0.833,0.007366815149784,,,1,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
0,train,0,0.35514,0.83548,0.0073634345316886,4.9,9.872442741680867,2,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
1,test,0,0.3516,0.8346,0.0073632140874862,,,2,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
2,train,1,0.3541,0.83556,0.0073638374090194,5.0,9.861363024383504,2,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
3,test,1,0.3487,0.8337,0.0073633694529533,,,2,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
4,train,2,0.3543,0.83508,0.0073647165036201,5.0,9.850319226712694,2,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
5,test,2,0.3507,0.8338,0.0073634722709655,,,2,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
6,train,3,0.35456,0.83528,0.0073643525719642,4.8,9.8393064749823,2,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
7,test,3,0.3487,0.8337,0.0073662889003753,,,2,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
8,train,4,0.35462,0.83528,0.0073664597868919,5.1,9.828323132187414,2,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
9,test,4,0.3494,0.8329,0.007367225909233,,,2,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
0,train,0,0.35514,0.83542,0.0073475313830375,5.4,9.958801681824324,0,2,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
1,test,0,0.35,0.8361,0.007353029179573,,,0,2,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
2,train,1,0.35982,0.83834,0.0073272235798835,5.1,10.070582276755486,0,2,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
3,test,1,0.3516,0.8375,0.0073277431130409,,,0,2,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
4,train,2,0.35904,0.84044,0.0073121468663215,5.1,10.174746694825949,0,2,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
5,test,2,0.3549,0.8384,0.0073091140270233,,,0,2,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
6,train,3,0.3609,0.83918,0.0072979339528083,5.1,10.26873600048894,0,2,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
7,test,3,0.355,0.8396,0.0073040509581565,,,0,2,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
8,train,4,0.3627,0.84212,0.007283741531372,5.1,10.360717138340018,0,2,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
9,test,4,0.3549,0.8403,0.0072974806904792,,,0,2,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
0,train,0,0.3623,0.84242,0.0072823280978202,5.1,10.34825546976792,1,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
1,test,0,0.3533,0.8406,0.0072888361930847,,,1,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
2,train,1,0.36334,0.84218,0.0072847355937957,5.0,10.33583056068327,1,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
3,test,1,0.3538,0.8387,0.0072944988369941,,,1,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
4,train,2,0.36286,0.84212,0.0072848007178306,5.1,10.323436951906054,1,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
5,test,2,0.3537,0.84,0.0072948806166648,,,1,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
6,train,3,0.36338,0.84158,0.0072843262887001,5.0,10.31107614930567,1,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
7,test,3,0.3566,0.8403,0.0072924185037612,,,1,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
8,train,4,0.36316,0.84242,0.0072870225811004,5.6,10.2987542105149,1,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
9,test,4,0.3517,0.8425,0.00729334359169,,,1,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
0,train,0,0.3623,0.84264,0.007286975429058,4.9,10.286464830209365,2,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
1,test,0,0.353,0.84,0.007296716427803,,,2,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
2,train,1,0.36318,0.84254,0.0072874878668785,5.2,10.274208871936247,2,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
3,test,1,0.3554,0.8417,0.0073016251564025,,,2,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
4,train,2,0.36272,0.84246,0.0072894361686706,5.1,10.261986666535687,2,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
5,test,2,0.3535,0.8416,0.0072992251515388,,,2,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
6,train,3,0.36286,0.8434,0.0072891069006919,5.2,10.249806751139037,2,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
7,test,3,0.3523,0.8405,0.0072955672621726,,,2,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
