,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,model
16,train,8,,,256.100049495697,4.9,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
17,test,8,,,,,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
18,train,9,0.55006,0.94112,256.0029035806656,5.0,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
19,test,9,0.5069,0.9253,0.005608684027194977,,1,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
0,train,0,0.54712,0.94114,256.2087209224701,5.0,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
1,test,0,0.5078,0.9258,0.005623901915550232,,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
2,train,1,,,255.8794628381729,5.0,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
3,test,1,,,,,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
4,train,2,,,255.82440865039825,4.9,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
5,test,2,,,,,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
6,train,3,,,255.74135732650757,5.0,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
7,test,3,,,,,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
8,train,4,,,255.6523404121399,4.9,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
9,test,4,,,,,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
10,train,5,0.54932,0.94182,255.47702598571777,5.0,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
11,test,5,0.5041,0.9267,0.005610896515846253,,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
12,train,6,,,255.4635353088379,4.9,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
13,test,6,,,,,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
14,train,7,,,255.5549120903015,5.0,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
15,test,7,,,,,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
16,train,8,,,255.50754535198212,5.0,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
17,test,8,,,,,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
18,train,9,0.55156,0.94198,255.45440316200256,4.8,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
19,test,9,0.5105,0.9263,0.005600060999393463,,2,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
0,train,0,0.55054,0.94202,255.1422060728073,4.9,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
1,test,0,0.507,0.926,0.005613388228416443,,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
2,train,1,,,255.21506667137146,5.1,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
3,test,1,,,,,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
4,train,2,,,255.46708178520203,5.1,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
5,test,2,,,,,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
6,train,3,,,255.19602847099304,5.1,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
7,test,3,,,,,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
8,train,4,,,254.98653769493103,5.1,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
9,test,4,,,,,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
10,train,5,0.55292,0.94204,255.02983105182648,5.1,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
11,test,5,0.508,0.9254,0.005593692946434021,,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
12,train,6,,,254.8496549129486,5.1,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
13,test,6,,,,,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
14,train,7,,,255.00390946865082,5.0,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
15,test,7,,,,,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
16,train,8,,,254.9226553440094,5.0,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
17,test,8,,,,,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
18,train,9,0.55092,0.94156,254.8114470243454,5.0,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
19,test,9,0.5114,0.9239,0.0056068491339683535,,3,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
0,train,0,0.55222,0.94206,255.01501262187958,5.2,4,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
1,test,0,0.5032,0.9255,0.005611384630203247,,4,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
2,train,1,,,254.67763602733612,5.0,4,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
3,test,1,,,,,4,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
4,train,2,,,254.59932231903076,5.0,4,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
5,test,2,,,,,4,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
6,train,3,,,254.86282098293304,5.0,4,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
7,test,3,,,,,4,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
8,train,4,,,254.6325340270996,5.0,4,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
9,test,4,,,,,4,134154,<class 'torch.optim.adamw.AdamW'>,1024,250,False,0.01,0.001,False,MLP
