,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,invariant,model
21,test,10,0.5237,0.9301,54.26602029800415,,4,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
0,train,0,0.57692,0.94648,244.54227030277252,13.4,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
1,test,0,0.5127,0.9273,54.90700888633728,,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
2,train,1,,,243.9932520389557,13.4,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
3,test,1,,,,,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
4,train,2,,,242.60654878616333,13.8,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
5,test,2,,,,,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
6,train,3,,,242.2178658246994,13.0,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
7,test,3,,,,,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
8,train,4,,,241.29001426696777,13.2,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
9,test,4,,,,,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
10,train,5,0.59272,0.95016,240.13345110416412,13.8,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
11,test,5,0.5269,0.933,54.115543484687805,,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
12,train,6,,,238.78914391994476,13.1,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
13,test,6,,,,,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
14,train,7,,,238.52076816558838,13.0,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
15,test,7,,,,,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
16,train,8,,,237.77220714092255,13.5,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
17,test,8,,,,,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
18,train,9,,,237.05482256412506,16.5,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
19,test,9,,,,,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
20,train,10,0.59644,0.95114,235.7105087041855,14.3,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
21,test,10,0.5234,0.9312,54.108206152915955,,5,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
0,train,0,0.60258,0.95244,235.60683000087738,13.2,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
1,test,0,0.5281,0.9309,53.945765376091,,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
2,train,1,,,234.69789344072342,13.4,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
3,test,1,,,,,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
4,train,2,,,233.4162323474884,13.7,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
5,test,2,,,,,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
6,train,3,,,232.47509932518005,13.8,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
7,test,3,,,,,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
8,train,4,,,231.86821103096008,13.7,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
9,test,4,,,,,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
10,train,5,0.60436,0.95384,231.78494954109192,13.3,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
11,test,5,0.5237,0.9306,54.045746088027954,,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
