,type,epoch,top1,top5,loss,time,grad_norm,network_norm,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
1,test,0,0.975,0.999,0.000360420897603035,,,,0,4,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.99785,1.0,5.6269444238084055e-05,4.3,0.1515301842890525,42.27079642902197,0,4,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9746,0.9991,0.0003535922048613429,,,,0,4,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9979166666666667,1.0,5.1156969981578486e-05,4.2,0.1237370703174494,43.064525326176856,0,4,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9751,0.9991,0.00036642764378339054,,,,0,4,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9978166666666667,1.0,5.2022489400890965e-05,4.3,79.99027804170136,42.96595409016242,1,4,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9757,0.9992,0.0003553173387423158,,,,1,4,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9977166666666667,1.0,5.2073202452932796e-05,4.2,80.18851282352571,42.86764366562035,1,4,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9746,0.9993,0.00035946533568203447,,,,1,4,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9977833333333334,1.0,5.290457780938596e-05,4.2,81.83277000640621,42.76957572092407,1,4,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9751,0.9989,0.00036509914100170133,,,,1,4,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9980333333333333,1.0,5.262989604768033e-05,4.1,34.255797325296115,42.67173798667003,2,4,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.975,0.9991,0.00036868505347520115,,,,2,4,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9980666666666667,1.0,5.358984539440523e-05,4.1,33.787408607578215,42.57416563752769,2,4,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.975,0.9992,0.0003518969114869833,,,,2,4,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.9980666666666667,1.0,5.373500237862269e-05,4.2,33.868989634315156,42.476832852293406,2,4,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9751,0.9989,0.00036313565708696844,,,,2,4,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,layerwise,MLP_layerwise
