,type,epoch,top1,top5,loss,time,grad_norm,network_norm,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
2,train,1,0.79665,0.9813166666666666,0.0025968137204647065,4.5,9756.849484079718,16.3414207168164,74498,10,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
3,test,1,0.7992,0.9842,0.0025205925464630127,,,,74498,10,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.7972,0.9813333333333333,0.0025860298246145248,4.3,10037.459513057043,16.4570499457272,74498,10,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.7975,0.984,0.0025147080302238465,,,,74498,10,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
0,train,0,0.7975833333333333,0.9817166666666667,0.0025792070950071016,4.3,10316.802908761767,16.578680404800405,74498,11,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
1,test,0,0.801,0.9843,0.002503052866458893,,,,74498,11,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
2,train,1,0.7979333333333334,0.98175,0.002570973786711693,4.3,10594.206753635142,16.69814391424624,74498,11,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
3,test,1,0.7996,0.9843,0.0024978841185569764,,,,74498,11,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.79885,0.9817166666666667,0.0025627850527564686,4.4,10870.072711741162,16.814429819611284,74498,11,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.7996,0.9842,0.002490765902400017,,,,74498,11,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
0,train,0,0.7996833333333333,0.9820166666666666,0.0025586193561553954,4.4,11144.033897566705,16.92483770924967,74498,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
1,test,0,0.801,0.9843,0.0024785678714513777,,,,74498,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
2,train,1,0.8004833333333333,0.9822333333333333,0.0025490816419323284,4.3,11417.770485151908,17.040028835148842,74498,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
