,type,epoch,top1,top5,loss,time,grad_norm,network_norm,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.9997,1.0,8.961851543184215e-06,4.0,107.1482570996921,56.260293010803906,135072,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9742,0.9993,0.0004779080425389111,,,,135072,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9997666666666667,1.0,7.3143312188525064e-06,4.0,107.77554745535436,56.64240524082066,135072,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9753,0.9989,0.00046673122150823473,,,,135072,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.99985,1.0,8.243672180590996e-06,4.0,108.35382442268018,56.980943667561284,135072,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9742,0.999,0.0004741576249711216,,,,135072,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9994,1.0,1.192224194383016e-05,4.0,108.93203028771757,57.411155112561026,135072,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9756,0.9992,0.0004700349938124418,,,,135072,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9997166666666667,1.0,6.322868385662635e-06,3.9,109.48962878839882,57.68164778261997,135072,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9745,0.9989,0.00048568010814487933,,,,135072,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.99975,1.0,7.932316848018672e-06,3.9,110.14568561478464,57.996615302958375,135072,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.9731,0.9993,0.0005092405486851931,,,,135072,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
0,train,0,0.9998666666666667,1.0,6.913622849727592e-06,3.9,110.87078555668656,58.383072166410884,135072,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
1,test,0,0.9738,0.9991,0.0004904641292057931,,,,135072,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
2,train,1,0.9998,1.0,6.797134127797714e-06,4.0,111.49268385471427,58.64004598245644,135072,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
3,test,1,0.9755,0.9993,0.0004869733426719904,,,,135072,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
4,train,2,0.9997666666666667,1.0,6.842665741957414e-06,3.9,112.0741671837998,58.94225629715268,135072,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
5,test,2,0.974,0.9992,0.0005197112522087992,,,,135072,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,MLP,backprop,MLP_backprop
