,Unnamed: 0,Unnamed: 0.1,type,epoch,top1,top5,loss,time,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
64,64,24,train,12,0.4172166666666667,0.8619833333333333,0.0068456539154052,4.1,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
65,65,25,test,12,0.4167,0.8601,0.0068325497150421,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
66,66,26,train,13,0.4170833333333333,0.8622333333333333,0.0068472977280616,3.9,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
67,67,27,test,13,0.4172,0.8594,0.0068341523051261,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
68,68,28,train,14,0.4168666666666666,0.86195,0.0068490759432315,4.0,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
69,69,29,test,14,0.4152,0.8592,0.0068369379639625,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
70,70,30,train,15,0.41685,0.8622333333333333,0.0068510754168033,4.0,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
71,71,31,test,15,0.417,0.8594,0.0068386888504028,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
72,72,32,train,16,0.4169666666666666,0.86205,0.0068532118896643,4.1,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
73,73,33,test,16,0.4161,0.8595,0.0068408548474311,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
74,74,34,train,17,0.4168166666666666,0.8619833333333333,0.0068555157283941,4.0,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
75,75,35,test,17,0.4167,0.8592,0.0068439331293106,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
76,76,36,train,18,0.4167833333333333,0.8625,0.0068576752603054,4.2,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
77,77,37,test,18,0.4155,0.859,0.0068451964139938,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
78,78,38,train,19,0.41655,0.8620166666666667,0.0068604373892148,4.1,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
79,79,39,test,19,0.4157,0.8593,0.0068474884033203,,1,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
80,80,0,train,0,0.4161166666666667,0.8622833333333333,0.0068630480527877,4.0,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
81,81,1,test,0,0.4148,0.8585,0.0068511102318763,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
82,82,2,train,1,0.4157,0.8626666666666667,0.0068652176956335,4.1,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
83,83,3,test,1,0.4163,0.858,0.0068536310195922,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
84,84,4,train,2,0.4156166666666667,0.8625333333333334,0.0068675627827644,4.0,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
85,85,5,test,2,0.415,0.8596,0.0068570115208625,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
86,86,6,train,3,0.4158833333333333,0.86265,0.0068704737484455,4.0,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
87,87,7,test,3,0.4147,0.8589,0.0068593241333961,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
88,88,8,train,4,0.4158833333333333,0.8625,0.0068731621781984,4.3,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
89,89,9,test,4,0.4144,0.8596,0.0068613808393478,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
