,type,epoch,top1,top5,loss,time,grad_norm,network_norm,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
4,train,2,0.6463166666666667,0.9492166666666667,0.004583203274011612,4.1,1042.9509764218794,10.276811088803337,1,0,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
5,test,2,0.6629,0.9515,0.004490862882137299,,,,1,0,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
0,train,0,0.6465166666666666,0.9491166666666667,0.004589215981960297,4.3,137.75417991615467,10.262140203570391,2,0,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
1,test,0,0.6636,0.9517,0.004497540831565857,,,,2,0,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
2,train,1,0.64655,0.94925,0.0045953162888685865,4.2,275.15490821388113,10.247520261846912,2,0,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
3,test,1,0.6639,0.9514,0.0045046040654182435,,,,2,0,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
4,train,2,0.6465,0.9493,0.004601719600955645,4.3,412.19720596294104,10.232951513086434,2,0,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
5,test,2,0.6633,0.9515,0.004510768306255341,,,,2,0,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
0,train,0,0.6825333333333333,0.9607,0.0040387868920962015,4.2,0.29882952200462976,10.95892157500829,0,1,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
1,test,0,0.6981,0.9617,0.003940195971727371,,,,0,1,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
2,train,1,0.7068666666666666,0.9668833333333333,0.0037109049012263614,4.2,0.2604621296302773,11.497575371607708,0,1,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
3,test,1,0.7175,0.9702,0.003611882346868515,,,,0,1,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
4,train,2,0.72205,0.9697833333333333,0.0035039552052815756,4.3,0.2828304061466565,11.918011819434419,0,1,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
5,test,2,0.731,0.9723,0.0034067984342575075,,,,0,1,642,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
0,train,0,0.7225833333333334,0.9699333333333333,0.0035073945273955665,4.1,1353.6406407499842,11.898029017983268,1,1,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,layerwise,CNN_layerwise
